movie_id,movie_name,genre,description,director,star
tt5260932,Residence,horror,"The enigmatic hero, a speechless child and a ragtag motley crew journey through a zombie filled apocalyptic landscape to seek shelter in a medieval fun park whilst being pursued by a deranged lunatic.",Matt Mirams,"Scott Major, 
Tim Spriggs, 
Adam Rowland, 
James Mason"
tt13796104,Zhang chao,horror,"Khepri Cockroach Tide is a biological disaster online movie. It tells the story of the super cockroach, which was originally developed to deal with environmental problems, but during transportation it's starting attack humans",Channel Choi,"Yixuan Jiang, 
Jia Jin, 
Shaowu Xu, 
Zina Blahusova"
tt0092870,Demon of Paradise,horror,"Hunters become the hunted when illegal dynamite disturbs the ageold slumber of a carnivorous lizardman. Resort owner Angela, joins forces with Sheriff Keefer to save tourists from the beast's path of death.",Cirio H. Santiago,"Kathryn Witt, 
William Steis, 
Laura Banks, 
Frederick Bailey"
tt1219822,BreadCrumbs,horror,A group of Porn Filmmakers are systematically attacked by 2 children on the set of a remote shoot.,Mike Nichols,"Kristina Klebe, 
Dan Shaked, 
Marianne Hagan, 
Jim J. Barnes"
tt0011565,The Penalty,horror,A deformed criminal mastermind plans to loot the city of San Francisco as well as revenge himself on the doctor who mistakenly amputated his legs.,Wallace Worsley,"Charles Clary, 
Doris Pawn, 
Jim Mason, 
Lon Chaney"
tt13241088,In the Shadows,horror,"After being sentenced to a mental institution at 10 years old, Harlan Hatcher escapes 35 years later with revenge on his mind.",Glenn Martin,"Michael Paré, 
Robert Romanus, 
Jennifer Banko, 
Brian Ceponis"
tt0025712,The Return of Chandu,horror,"The cult of Ubasti, headquartered on the isle of Lemuria, believes that Princess Nadji of Egypt is a reincarnation of their long-dead goddess, Ossana, and intend to sacrifice her so that Ossana may be resurrected.",Ray Taylor,"Bela Lugosi, 
Maria Alba, 
Clara Kimball Young, 
Lucien Prival"
tt0354216,The Wisher,horror,A high school girl gets nightmares and sleepwalks from watching horror movies. Her dad bans them but she's addicted and sneaks out to watch The Wisher. The horror becomes real.,Gavin Wilding,"Ron Silver, 
Liane Balaban, 
Drew Lachey, 
Siri Baruc"
tt3299604,Haunted House on Sorority Row,horror,A fledging sorority moves into a dilapidated house only to find something evil is lurking in the shadows. Is it an elaborate hazing ritual? Or is something sinister - something paranormal - behind the mental and physical assault?,Henrique Couto,"Erin R. Ryan, 
Iabou Windimere, 
Joni Durian, 
Tonjia Atomic"
tt0451638,Ang babaeng nawawala sa sarili,horror,"WITH HER DEVIANT SEXUAL BEHAVIOR, OLIVIA, A NYMPHOMANIAC, COMPROMISES THE REPUTATION OF ALBINA WHO RESEMBLES HER.",Eddie Rodriguez,"Dina Bonnevie, 
Tonton Gutierrez, 
Eddie Gutierrez, 
Cherie Gil"
tt13470654,The Ice Demon,horror,"A man's sudden return home in a coma years after he's gone missing, throwing his family's life into disarray as his homecoming brings with it some terrifying and supernatural goings-on.","Ivan Kapitonov, 
Cindy Robinson","Alina Babak, 
Olga Lomonosova, 
Aleksey Rozin, 
Igor Khripunov"
tt2413338,Abducted,horror,Jessica and Dave along with three other young couples are kidnapped in Griffith Park by unseen Abductors and must fight to escape certain death only to discover the world will never be the same.,"Lucy Phillips, 
Glen Scantlebury","Trevor Morgan, 
Tessa Ferrer, 
Jelly Howie, 
Ross Thomas"
tt7429708,Pig,horror,"Iranian directors are getting slaughtered by an unknown serial killer and a blacklisted director, Hasan Kasmai, is curious about only one thing: Why isn't the killer after him?",Mani Haghighi,"Mohammad Hassan Madjooni, 
Leila Hatami, 
Leili Rashidi, 
Parinaz Izadyar"
tt2562110,Tomio,horror,"A young couple, Tomio and Madoka, decide to get married after graduate school. Madoka convinces Tomio to visit a fortune teller to have their future foretold. Tomio is immediately attracted...                See full summary »",Junji Ito,"Yûki Furukawa, 
Yoshifumi Ikeda, 
Aya Kiguchi, 
Maria Koiwai"
tt2393174,Dracano,horror,A catastrophic volcanic eruption releases ancient dragon-like creatures on the surrounding areas. Scientists believe this could start a chain reaction of volcanic eruptions giving way to a global Dragon Apocalypse.,Kevin O'Neill,"Corin Nemec, 
Victoria Pratt, 
Mia Marcon, 
Troy Evans"
tt6967644,The Nightmare Gallery,horror,"An anthropology professor's obsession with a paranormal mystery threatens her job, marriage, and sanity as she fights to find a missing student.",Gene Blalock,"Amber Benson, 
Kevin Chamberlin, 
Mat Devine, 
Mieko Hillman"
tt13780990,The Mistress,horror,Newlyweds move into their dream home where they discover a collection of 100-year-old letters from a young woman who committed suicide after being abandoned by the owner of the home.,Greg Pritikin,"Eddie Alfano, 
James Carpinello, 
Jake Sidney Cohen, 
Kat Cunning"
tt0101436,Immortal Sins,horror,"Michael Alvarez and his wife Susan have inherited an ancient Spanish castle, unaware that it comes with a horrendous curse. Michael is soon lured into a deadly romance with Diana, that tortures the family with immortal sins.",Hervé Hachuel,"Cliff De Young, 
Maryam d'Abo, 
Shari Shattuck, 
Tony Isbert"
tt0808315,In 3 Tagen bist du tot,horror,"In Ebensee, the teenagers Nina, her boyfriend Martin, Clemens, his girlfriend Alex and Mona are best friends since their childhood. On their high-school graduation day, they all receive the...                See full summary »",Andreas Prochaska,"Sabrina Reiter, 
Julia Rosa Peer, 
Michael Steinocher, 
Nadja Vogel"
tt2363439,The Frozen,horror,An ill advised winter camping trip leaves a couple stranded deep in the mountains where they must survive against the forces of nature and hide from a mysterious man who hunts them.,Andrew Hyatt,"Brit Morgan, 
Seth David Mitchell, 
Noah Segan, 
Jessica Wiley"
tt0452180,A Tailor's Secret,horror,The mysterious woman will excite unrest ... And start a dangerous game.,Milos Avramovic,"Goran Susljik, 
Lazar Ristovski, 
Marija Vickovic, 
Dragan Micanovic"
